"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Яловичина","Місячна","279.17","277.35","269.51","262.08","261.26","261.46","272.82","277.24","288.68","300.1","313.75","325.56","314.08","310.78","295.43","288.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Свинина","Місячна","168.45","159.82","159.95","162.06","163.36","161.22","160.82","165.15","162.23","166.8","166.13","173.83","178.16","173.99","177.79","202.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Птиця (тушки курячі)","Місячна","80.3","84.24","80.07","82.83","84.3","83.16","80.03","84.66","88.03","87.34","85.68","87.6","88.49","89.92","94.72","100.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Філе куряче","Місячна","163.36","160.19","168.06","162.77","160.57","158.58","162.37","169.5","173.34","173.23","176.16","175.45","177.21","175.74","190.59","195.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Ковбаси варені першого ґатунку","Місячна","185.46","173.42","177.01","180.77","180.77","169.36","179.31","186.62","190.65","196.49","198.81","191.98","193.98","203.32","209.88","218.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Риба морожена","Місячна","183.31","179","187.04","187.56","192.23","192.48","189.04","196.47","198.4","200.43","200.11","208.99","207.91","207.78","205.32","209.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Молоко пастеризоване жирністю до 2,6% включно","Місячна","36.23","36.45","37.62","37.93","36.17","37.2","36.93","38.91","39.28","38.38","41.89","44.29","46.83","47.42","44.83","46.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Сири м’які жирні","Місячна","181.05","180.63","178.7","172.83","177.45","177.45","186.12","186.93","188","200.56","219.22","224.93","224.4","227.86","238.03","240.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Сметана жирністю до 15% включно","Місячна","102.27","105.41","108.04","112.52","107.73","113.75","118.14","118.77","123.15","128.06","128.86","133.53","130.18","132.77","137.44","142.68"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Яйця","Місячна","48.78","48.64","36.52","28.31","23.67","30.67","26.96","30.41","35.31","42.96","61.62","59.79","42.4","44.7","57.3","51.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Масло вершкове","Місячна","70.94","75.97","74.96","74.24","74.67","75.43","77.86","78.39","83.06","93.15","99.84","104.42","104.97","105.35","108.25","109.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Олія соняшникова","Місячна","56.16","55.6","56.08","56.51","57.18","60.16","62.63","62.16","63.28","64.88","67.45","74.08","75.78","79.24","80.68","80.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Сало","Місячна","160.31","155.29","155.29","151.76","151.76","147.91","142.81","138.32","144.85","148.73","154.17","154.17","174.46","173.78","169.46","162.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Яблука","Місячна","20.04","22.99","24.07","24.21","25.19","25.6","29.11","28.05","23.44","27.34","33.2","34.3","36.37","38.31","41.48","47.8"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Капуста білокачанна","Місячна","14.9","15.85","14.83","13.75","14.05","10.64","12.45","30.42","28.86","29.89","32.47","33.6","44.1","49.06","50.42","53.3"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Цибуля ріпчаста","Місячна","17.42","17.65","17.08","16.99","28.42","27.46","18.27","16.85","16.76","18.54","18.86","19.2","19.32","18.6","17.98","22.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Буряк","Місячна","15.29","17.88","17.27","19.22","28.41","31.74","24.21","16.17","14.98","16.97","19.04","20.13","21.54","22.81","24.28","30.11"
